"date";"prcp_chirps"
1981-01-01;5.89833211898804
1981-02-01;10.5396957397461
1981-03-01;4.64037656784058
1981-04-01;3.39900302886963
1981-05-01;2.40967082977295
1981-06-01;7.64542865753174
1981-07-01;0.422717720270157
1981-08-01;1.87144637107849
1981-09-01;9.34279441833496
1981-10-01;5.03741598129272
1981-11-01;4.89707231521606
1981-12-01;4.84745216369629
1982-01-01;21.3161506652832
1982-02-01;4.31515979766846
1982-03-01;6.60071277618408
1982-04-01;16.7117099761963
1982-05-01;5.05561208724976
1982-06-01;4.84551000595093
1982-07-01;0.526369571685791
1982-08-01;1.38411486148834
1982-09-01;14.540060043335
1982-10-01;8.51879215240479
1982-11-01;21.8452682495117
1982-12-01;11.0234985351562
1983-01-01;7.45330047607422
1983-02-01;3.7611129283905
1983-03-01;6.56023406982422
1983-04-01;9.3809814453125
1983-05-01;5.21444606781006
1983-06-01;7.50094366073608
1983-07-01;0.551615953445435
1983-08-01;1.6820707321167
1983-09-01;5.62574338912964
1983-10-01;4.89053821563721
1983-11-01;5.09091949462891
1983-12-01;8.72783184051514
1984-01-01;12.5820407867432
1984-02-01;3.92585635185242
1984-03-01;7.08182764053345
1984-04-01;5.6371636390686
1984-05-01;2.65396809577942
1984-06-01;2.85042262077332
1984-07-01;0.485772520303726
1984-08-01;1.99676632881165
1984-09-01;7.50716876983643
1984-10-01;10.9989576339722
1984-11-01;6.63214778900146
1984-12-01;6.09174871444702
1985-01-01;16.8548316955566
1985-02-01;2.68448400497437
1985-03-01;6.67520713806152
1985-04-01;10.6180877685547
1985-05-01;5.26417922973633
1985-06-01;3.84047746658325
1985-07-01;0.507782578468323
1985-08-01;1.42878866195679
1985-09-01;7.95681571960449
1985-10-01;3.94793844223022
1985-11-01;8.47581100463867
1985-12-01;9.25455856323242
1986-01-01;7.50620937347412
1986-02-01;2.81632232666016
1986-03-01;14.9726638793945
1986-04-01;9.86395740509033
1986-05-01;6.86865329742432
1986-06-01;2.89702868461609
1986-07-01;0.506118774414062
1986-08-01;1.42286550998688
1986-09-01;11.7478809356689
1986-10-01;9.88045597076416
1986-11-01;17.8213348388672
1986-12-01;9.07291221618652
1987-01-01;17.3700428009033
1987-02-01;3.24732804298401
1987-03-01;3.47605133056641
1987-04-01;8.31661891937256
1987-05-01;5.01163721084595
1987-06-01;4.5999641418457
1987-07-01;0.545592546463013
1987-08-01;1.34174883365631
1987-09-01;5.25006866455078
1987-10-01;9.99612617492676
1987-11-01;6.20795774459839
1987-12-01;5.47074890136719
1988-01-01;6.49264240264893
1988-02-01;3.04509139060974
1988-03-01;3.48161220550537
1988-04-01;5.89332389831543
1988-05-01;4.44192123413086
1988-06-01;14.7368144989014
1988-07-01;0.508824408054352
1988-08-01;1.6531730890274
1988-09-01;10.1207008361816
1988-10-01;6.22201442718506
1988-11-01;18.3764991760254
1988-12-01;13.1899471282959
1989-01-01;11.5553913116455
1989-02-01;2.44293093681335
1989-03-01;3.10263967514038
1989-04-01;4.9484601020813
1989-05-01;2.66781711578369
1989-06-01;5.47217750549316
1989-07-01;0.506955862045288
1989-08-01;1.52505123615265
1989-09-01;8.61478710174561
1989-10-01;3.5208044052124
1989-11-01;8.82656860351562
1989-12-01;7.12731838226318
1990-01-01;57.6579742431641
1990-02-01;1.77711689472198
1990-03-01;5.8673529624939
1990-04-01;19.6929798126221
1990-05-01;11.5118618011475
1990-06-01;3.25641417503357
1990-07-01;0.560630679130554
1990-08-01;2.99861931800842
1990-09-01;6.02051210403442
1990-10-01;3.61067724227905
1990-11-01;10.3861808776855
1990-12-01;19.345666885376
1991-01-01;11.8487567901611
1991-02-01;2.72147011756897
1991-03-01;18.0935573577881
1991-04-01;8.22021961212158
1991-05-01;3.60857725143433
1991-06-01;4.70744609832764
1991-07-01;0.530422270298004
1991-08-01;1.49502539634705
1991-09-01;6.96825551986694
1991-10-01;7.24171352386475
1991-11-01;13.7241954803467
1991-12-01;7.48309421539307
1992-01-01;15.2281532287598
1992-02-01;3.62531852722168
1992-03-01;11.1581878662109
1992-04-01;13.6564664840698
1992-05-01;4.09221982955933
1992-06-01;4.36816787719727
1992-07-01;0.553074061870575
1992-08-01;1.52178907394409
1992-09-01;7.14572048187256
1992-10-01;3.81841993331909
1992-11-01;15.668797492981
1992-12-01;12.751576423645
1993-01-01;8.83344173431396
1993-02-01;5.10145044326782
1993-03-01;5.89204406738281
1993-04-01;4.42462825775146
1993-05-01;2.73396468162537
1993-06-01;4.91274499893188
1993-07-01;0.507894158363342
1993-08-01;1.45936131477356
1993-09-01;9.94602203369141
1993-10-01;5.74586057662964
1993-11-01;18.8124923706055
1993-12-01;6.30641746520996
1994-01-01;16.2355918884277
1994-02-01;2.93007278442383
1994-03-01;8.58435916900635
1994-04-01;9.88092994689941
1994-05-01;4.3228816986084
1994-06-01;3.87506532669067
1994-07-01;0.504416823387146
1994-08-01;1.44424366950989
1994-09-01;12.7370023727417
1994-10-01;12.0656328201294
1994-11-01;5.41064834594727
1994-12-01;4.97623157501221
1995-01-01;10.065393447876
1995-02-01;2.51439523696899
1995-03-01;5.61860370635986
1995-04-01;8.31252670288086
1995-05-01;2.98270058631897
1995-06-01;4.57605409622192
1995-07-01;0.506181299686432
1995-08-01;3.64004611968994
1995-09-01;31.7746200561523
1995-10-01;10.5204391479492
1995-11-01;9.75769805908203
1995-12-01;10.4062547683716
1996-01-01;19.5921573638916
1996-02-01;6.43952322006226
1996-03-01;8.13957214355469
1996-04-01;10.9198093414307
1996-05-01;5.89680194854736
1996-06-01;4.09062623977661
