id_station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
station_2,1978,164.8,196.9,196.2,155.1,0.192935689,0.9,0.702868221,5.5,25.6,81.4,239.9,211.9
station_2,1979,312.8,196.9,303,205.8,64.8,0.311282892,0.008674579,0.51935531,0.8,61.7,319.9,292.7
station_2,1980,160.5,139.2,188.8,112.6,5.6,0.28251444,0.096137851,0.375890953,29.6,84.6,150.2,171.9
station_2,1981,78.3,114.2,409.4,40.7,30.8,0.504882622,0.972029616,0.8,8.1,56,76.2,258.4
station_2,1982,186.6,143.9,162.8,131.7,13.7,0.1,0.253439171,0.291553213,11.2,50.1,277.2,217.4
station_2,1983,161,149.5,146.9,69.7,13.7,0.083594367,0.319728861,0.601197663,9.1,93.1,168.8,159.1
station_2,1984,246.3,206.8,130.4,116.2,6.2,0.371350467,0.076149208,0.038476483,21.4,90.9,167.3,231.3
station_2,1985,171,149.7,215.7,135.5,19.5,0.675197903,0.005842288,0.052887152,21.7,71.2,154.5,180.4
station_2,1986,184.7,103.1,242.6,75.1,9.7,0.2,0.871971111,3.7,30.3,74.3,158.5,181.6
station_2,1987,142.7,178.2,171.4,137.6,30.9,0.330228178,0.943557769,1.8,16.3,80.2,152.3,216.7
station_2,1988,170,150.1,196.4,109.2,13.7,0.467192456,0.485368478,0.728685287,7.8,90.5,180.2,127.6
station_2,1989,74.3,121.1,70,177.7,6.5,0.790411459,0.657588466,0.965540051,1.1,99.1,144.6,223
station_2,1990,77.7,157.7,212.2,75.7,12.6,0.676117217,0.165312073,0.610712668,5.7,43.2,78.4,188.7
station_2,1991,118.9,137.1,246,37.2,25.6,0.382880571,0.049346189,0.961738191,2.5,43.6,119.1,120.1
station_2,1992,115.8,79.4,138.1,53,19.1,0.075144647,0.451058842,0.062019954,0.4,82.2,202.4,89.8
station_2,1993,182.6,106.4,204.9,119.2,23.2,0.528047958,0.48809613,5.1,9,40.1,165.5,126.1
station_2,1994,158.3,126.3,235.1,79.8,4.4,0.372712294,0.865542314,0.909127379,4.1,86.3,83.7,172.3
station_2,1995,82.3,178,178,71.5,1.9,0.2,0.055548446,2.9,6,101.4,88,114.5
station_2,1996,192,128.7,155.3,82.7,7.3,0.086723854,0.429538574,0.096587953,4.1,12.2,41.2,128.5
station_2,1997,164.3,98.5,259.2,101.2,7,0.596639057,0.431206672,0.043124053,12.8,86.2,150.8,291.8
station_2,1998,212.4,135.5,165.3,145.4,6.7,0.305197797,0.3515574,0.689785892,21.9,43.3,118.8,121.7
station_2,1999,103.5,63.7,265.2,105.1,0.763911683,0.5,0.350496978,1.3,10.4,45.6,149.4,161
station_2,2000,125.8,135.8,247.4,22.2,4.7,0.049027708,0.022375457,0.2,0.7,29.6,183.3,153.8
station_2,2001,279.1,178.5,320.4,52,6.6,1.2,0.227940191,3.4,56.1,80.1,86.8,120.9
station_2,2002,234.8,79.8,254.2,113.5,0.5,0.654029769,0.227966697,0.3,3.8,22.3,165.3,212.1
station_2,2003,252.8,104.1,258,197.5,15.2,0.808945168,0.372557197,0.3,3,76.6,98.5,182.4
station_2,2004,132.8,146.5,171.4,138.2,0.1,0.1,0.442349053,0.7,15.2,23.7,149.4,277.7
station_2,2005,264.6,87.6,154.1,44.5,11.7,0.4,0.695370884,0.1,0.443703627,8.1,123.5,239.4
station_2,2006,122,145.2,173.6,122.5,70.7,0.807405123,0.883640696,0.7,18.2,54.1,292.4,218.4
station_2,2007,171.3,72.5,183.3,72.4,9.6,1.5,0.547436876,2.3,39.9,48.8,129.2,268.1
station_2,2008,264.5,202.3,211.1,54.7,4.6,0.9,0.738871202,0.6,1.4,54,171,170.8
