"","cell","x","y","layer.1.1.1.1.1.1.1.1.1","x.1","y.1","optional"
"115",246,24.5,-13.5,184.9,24.5,-13.5,TRUE
"116",247,25,-13.5,200.8,25,-13.5,TRUE
"117",248,25.5,-13.5,218.6,25.5,-13.5,TRUE
"118",249,26,-13.5,235.7,26,-13.5,TRUE
"119",250,26.5,-13.5,253.4,26.5,-13.5,TRUE
"120",251,27,-13.5,241.3,27,-13.5,TRUE
"121",252,27.5,-13.5,227.2,27.5,-13.5,TRUE
"122",253,28,-13.5,215.7,28,-13.5,TRUE
"123",254,28.5,-13.5,174,28.5,-13.5,TRUE
"124",255,29,-13.5,234.1,29,-13.5,TRUE
"125",256,29.5,-13.5,237.4,29.5,-13.5,TRUE
"126",257,30,-13.5,176.7,30,-13.5,TRUE
"127",258,30.5,-13.5,140.5,30.5,-13.5,TRUE
"128",259,31,-13.5,164.1,31,-13.5,TRUE
"129",260,31.5,-13.5,217,31.5,-13.5,TRUE
"130",261,32,-13.5,236.3,32,-13.5,TRUE
"131",262,32.5,-13.5,259,32.5,-13.5,TRUE
"132",266,22.5,-14,161.6,22.5,-14,TRUE
"133",267,23,-14,137,23,-14,TRUE
"134",268,23.5,-14,154,23.5,-14,TRUE
"135",269,24,-14,162.9,24,-14,TRUE
"136",270,24.5,-14,175.7,24.5,-14,TRUE
"137",271,25,-14,191.1,25,-14,TRUE
"138",272,25.5,-14,198.6,25.5,-14,TRUE
"139",273,26,-14,223.5,26,-14,TRUE
"140",274,26.5,-14,247,26.5,-14,TRUE
"141",275,27,-14,253,27,-14,TRUE
"142",276,27.5,-14,239.8,27.5,-14,TRUE
"143",277,28,-14,190.8,28,-14,TRUE
"144",278,28.5,-14,130.2,28.5,-14,TRUE
"145",279,29,-14,140.1,29,-14,TRUE
"146",280,29.5,-14,143.6,29.5,-14,TRUE
"147",281,30,-14,145.8,30,-14,TRUE
"148",282,30.5,-14,138.8,30.5,-14,TRUE
"149",283,31,-14,164.7,31,-14,TRUE
"150",284,31.5,-14,187.6,31.5,-14,TRUE
"151",285,32,-14,194.2,32,-14,TRUE
"152",286,32.5,-14,201,32.5,-14,TRUE
"153",290,22.5,-14.5,155.6,22.5,-14.5,TRUE
"154",291,23,-14.5,120.7,23,-14.5,TRUE
"155",292,23.5,-14.5,154.8,23.5,-14.5,TRUE
"156",293,24,-14.5,161.6,24,-14.5,TRUE
"157",294,24.5,-14.5,165.9,24.5,-14.5,TRUE
"158",295,25,-14.5,179.4,25,-14.5,TRUE
"159",296,25.5,-14.5,194.9,25.5,-14.5,TRUE
"160",297,26,-14.5,213.9,26,-14.5,TRUE
"161",298,26.5,-14.5,233.4,26.5,-14.5,TRUE
"162",299,27,-14.5,254.5,27,-14.5,TRUE
"163",300,27.5,-14.5,230.8,27.5,-14.5,TRUE
"164",301,28,-14.5,127.7,28,-14.5,TRUE
"165",302,28.5,-14.5,100.1,28.5,-14.5,TRUE
"166",303,29,-14.5,112.6,29,-14.5,TRUE
"167",304,29.5,-14.5,99.6,29.5,-14.5,TRUE
"168",305,30,-14.5,89.3,30,-14.5,TRUE
"169",306,30.5,-14.5,92.5,30.5,-14.5,TRUE
"170",307,31,-14.5,109.7,31,-14.5,TRUE
"171",308,31.5,-14.5,162.2,31.5,-14.5,TRUE
"172",313,22,-15,152.1,22,-15,TRUE
"173",314,22.5,-15,148.7,22.5,-15,TRUE
"174",315,23,-15,149.8,23,-15,TRUE
"175",316,23.5,-15,170.6,23.5,-15,TRUE
"176",317,24,-15,180.6,24,-15,TRUE
"177",318,24.5,-15,195.5,24.5,-15,TRUE
"178",319,25,-15,171.2,25,-15,TRUE
"179",320,25.5,-15,167.2,25.5,-15,TRUE
"180",321,26,-15,176.4,26,-15,TRUE
"181",322,26.5,-15,196,26.5,-15,TRUE
"182",323,27,-15,215.1,27,-15,TRUE
"183",324,27.5,-15,188.8,27.5,-15,TRUE
"184",325,28,-15,118.5,28,-15,TRUE
"185",326,28.5,-15,92,28.5,-15,TRUE
"186",327,29,-15,83.3,29,-15,TRUE
"187",328,29.5,-15,63.9,29.5,-15,TRUE
"188",329,30,-15,53.1,30,-15,TRUE
"189",338,22.5,-15.5,129.3,22.5,-15.5,TRUE
"190",339,23,-15.5,175.5,23,-15.5,TRUE
"191",340,23.5,-15.5,195.1,23.5,-15.5,TRUE
"192",341,24,-15.5,207.1,24,-15.5,TRUE
"193",342,24.5,-15.5,184.1,24.5,-15.5,TRUE
"194",343,25,-15.5,158.6,25,-15.5,TRUE
"195",344,25.5,-15.5,148.8,25.5,-15.5,TRUE
"196",345,26,-15.5,152,26,-15.5,TRUE
"197",346,26.5,-15.5,152.8,26.5,-15.5,TRUE
"198",347,27,-15.5,145.7,27,-15.5,TRUE
"199",348,27.5,-15.5,115,27.5,-15.5,TRUE
"200",349,28,-15.5,121.3,28,-15.5,TRUE
"201",350,28.5,-15.5,117.8,28.5,-15.5,TRUE
"202",351,29,-15.5,85,29,-15.5,TRUE
"203",352,29.5,-15.5,71.3,29.5,-15.5,TRUE
"204",353,30,-15.5,62.1,30,-15.5,TRUE
"205",362,22.5,-16,123.7,22.5,-16,TRUE
"206",363,23,-16,163.8,23,-16,TRUE
"207",364,23.5,-16,195.5,23.5,-16,TRUE
"208",365,24,-16,190.8,24,-16,TRUE
"209",366,24.5,-16,169.5,24.5,-16,TRUE
"210",367,25,-16,146.5,25,-16,TRUE
"211",368,25.5,-16,134.6,25.5,-16,TRUE
"212",369,26,-16,136.1,26,-16,TRUE
"213",370,26.5,-16,145.6,26.5,-16,TRUE
"214",371,27,-16,153.5,27,-16,TRUE
"215",372,27.5,-16,202.5,27.5,-16,TRUE
"216",373,28,-16,169.4,28,-16,TRUE
"217",374,28.5,-16,116,28.5,-16,TRUE
"218",386,22.5,-16.5,119.7,22.5,-16.5,TRUE
"219",387,23,-16.5,158.9,23,-16.5,TRUE
"220",388,23.5,-16.5,167,23.5,-16.5,TRUE
"221",389,24,-16.5,164.3,24,-16.5,TRUE
"222",390,24.5,-16.5,149.7,24.5,-16.5,TRUE
"223",391,25,-16.5,135.3,25,-16.5,TRUE
"224",392,25.5,-16.5,122.3,25.5,-16.5,TRUE
"225",393,26,-16.5,133.4,26,-16.5,TRUE
"226",394,26.5,-16.5,145.3,26.5,-16.5,TRUE
"227",395,27,-16.5,147.9,27,-16.5,TRUE
"228",396,27.5,-16.5,173.5,27.5,-16.5,TRUE
"229",397,28,-16.5,146.8,28,-16.5,TRUE
"230",398,28.5,-16.5,108.8,28.5,-16.5,TRUE
"231",411,23,-17,143,23,-17,TRUE
"232",412,23.5,-17,138,23.5,-17,TRUE
"233",413,24,-17,137.2,24,-17,TRUE
"234",414,24.5,-17,128.1,24.5,-17,TRUE
"235",415,25,-17,89.2,25,-17,TRUE
"236",416,25.5,-17,91.1,25.5,-17,TRUE
"237",417,26,-17,121.9,26,-17,TRUE
"238",418,26.5,-17,137.8,26.5,-17,TRUE
"239",419,27,-17,139.5,27,-17,TRUE
"240",420,27.5,-17,123,27.5,-17,TRUE
"241",436,23.5,-17.5,112.2,23.5,-17.5,TRUE
"242",437,24,-17.5,116.9,24,-17.5,TRUE
"243",438,24.5,-17.5,88.9,24.5,-17.5,TRUE
"244",439,25,-17.5,63.1,25,-17.5,TRUE
"245",440,25.5,-17.5,44.2,25.5,-17.5,TRUE
"246",441,26,-17.5,100.8,26,-17.5,TRUE
"247",442,26.5,-17.5,96.1,26.5,-17.5,TRUE
"248",443,27,-17.5,87.1,27,-17.5,TRUE
