id_station,lon,lat
id_11370,31.04999733,1.674999952
id_11770,33.64999771,1.774999976
id_3581,33.09999847,-0.574999988
id_17142,32.54999924,3.324999809
id_17865,33.89999771,3.524999857
id_4958,32.34999847,-0.174999997
id_13183,34.69999695,2.174999952
id_10911,34.19999695,1.524999976
id_10515,31.79999733,1.424999952
id_4910,29.94999886,-0.174999997
id_15263,34.29999924,2.774999857
id_5268,30.44999886,-0.074999996
id_4971,33,-0.174999997
id_14187,32.69999695,2.474999905
id_18557,33.69999695,3.724999905
id_7073,33.69999695,0.424999982
id_16264,32.14999771,3.074999809
id_13290,31.34999847,2.224999905
id_17472,31.64999771,3.424999952
id_13133,32.19999695,2.174999952
id_10679,31.29999733,1.474999905
id_6540,33.14999771,0.275000006
id_9675,33.29999924,1.174999952
id_13471,31.69999886,2.274999857
id_4557,29.69999886,-0.275000006
id_13853,33.39999771,2.375
id_5431,29.89999771,-0.024999999
id_13463,31.29999733,2.274999857
id_15957,34.19999695,2.974999905
id_5617,30.49999809,0.024999999
id_15438,34.34999847,2.824999809
id_15034,31.54999733,2.724999905
id_7043,32.19999695,0.424999982
id_3342,29.84999847,-0.625
id_3877,30.49999809,-0.474999994
id_10373,33.39999771,1.375
id_10569,34.5,1.424999952
id_7888,30.94999886,0.674999952
id_8426,31.74999809,0.824999988
id_7580,32.94999695,0.574999988
id_5610,30.14999771,0.024999999
id_8927,30.69999886,0.974999964
id_4634,33.54999924,-0.275000006
id_15601,33.79999924,2.875
id_2293,29.59999847,-0.924999952
id_7198,31.24999809,0.474999994
id_3522,30.14999771,-0.574999988
id_12126,34.04999924,1.875
id_10510,31.54999733,1.424999952
id_15061,32.89999771,2.724999905
id_13296,31.64999771,2.224999905
id_10680,31.34999847,1.474999905
id_12947,31.59999847,2.125
id_12423,31.49999809,1.974999905
id_12121,33.79999924,1.875
id_11039,31.89999771,1.574999928
id_5850,33.44999695,0.074999996
id_7429,34.09999847,0.524999976
id_2488,30.64999771,-0.875
id_3911,32.19999695,-0.474999994
id_11403,32.69999695,1.674999952
id_16444,32.44999695,3.125
id_6860,31.74999809,0.375
id_18010,32.44999695,3.574999809
id_14047,34.39999771,2.424999952
id_17515,33.79999924,3.424999952
id_16793,32.5,3.224999905
id_11755,32.89999771,1.774999976
id_9441,30.29999733,1.125
id_17458,30.94999886,3.424999952
id_3043,32.29999924,-0.724999964
id_11584,33.04999924,1.724999905
id_4462,33.64999771,-0.324999988
id_10864,31.84999847,1.524999976
id_2183,32.79999924,-0.974999964
id_12082,31.84999847,1.875
id_4622,32.94999695,-0.275000006
id_9676,33.34999847,1.174999952
id_5475,32.09999847,-0.024999999
id_2135,30.39999771,-0.974999964
id_10707,32.69999695,1.474999905
id_8063,30.99999809,0.724999964
id_15064,33.04999924,2.724999905
id_16274,32.64999771,3.074999809
id_11575,32.59999847,1.724999905
id_6479,30.09999847,0.275000006
id_18014,32.64999771,3.574999809
id_11091,34.5,1.574999928
id_12450,32.84999847,1.974999905
id_12258,31.94999886,1.924999952
id_10549,33.5,1.424999952
id_5311,32.59999847,-0.074999996
id_15922,32.44999695,2.974999905
id_2322,31.04999733,-0.924999952
id_8107,33.19999695,0.724999964
id_17824,31.84999847,3.524999857
id_11567,32.19999695,1.724999905
id_7174,30.04999733,0.474999994
id_4081,31.99999809,-0.424999982
id_15215,31.89999771,2.774999857
id_11055,32.69999695,1.574999928
id_5277,30.89999771,-0.074999996
id_7905,31.79999733,0.674999952
id_11406,32.84999847,1.674999952
id_2517,32.09999847,-0.875
id_6898,33.64999771,0.375
id_2698,32.44999695,-0.824999988
id_18214,33.94999695,3.625
id_5656,32.44999695,0.024999999
id_8110,33.34999847,0.724999964
id_15046,32.14999771,2.724999905
id_1774,29.74999809,-1.074999928
id_2896,33.64999771,-0.774999976
id_5638,31.54999733,0.024999999
id_10333,31.39999771,1.375
id_12610,32.14999771,2.024999857
id_16065,30.89999771,3.024999857
id_3573,32.69999695,-0.574999988
id_2850,31.34999847,-0.774999976
id_10557,33.89999771,1.424999952
id_17697,34.19999695,3.474999905
id_3561,32.09999847,-0.574999988
id_17661,32.39999771,3.474999905
id_17684,33.54999924,3.474999905
id_14048,34.44999695,2.424999952
id_9684,33.75,1.174999952
